S.No	Date	Vehicle No.	W. Slip No.	Truckchit No.	Center Name	DISTRICT	New Bags	Old Bags	Total Bags	Total Quintals	Moisture	Unloading Point
224	29-05-2025	AP28TD6039	1119	25131	IKP AYNAPUR (VKR)	VIKARABAD	405	300	705	282		NEW GODOWN
225	29-05-2025	AP28TC1040	1121	44459	PACS IPPAIPALLY (VKR)	VIKARABAD	740	0	740	296		NEW GODOWN
226	29-05-2025	TS06UB1566	1120	4490	DCMS DOMA (VKR)	VIKARABAD	0	745	745	298		NEW GODOWN
227	30-05-2025	AP28W8953	1122	3861	IKP GUNDAL (VKR)	VIKARABAD	456	94	550	220		NEW GODOWN
228	30-05-2025	TS15UC4786	1123	13344	PACS ISMAILKHANPET	SANGAREDDY	0	490	490	196		NEW GODOWN
229	30-05-2025	AP16TU8452	1125	25212	PACS IPPAIPALLY (VKR)	VIKARABAD	48	670	718	287.2		NEW GODOWN
230	30-05-2025	AP23W7720	1,128	13346	PACS ISMAILKHANPET	SANGAREDDY	0	755	755	302		NEW GODOWN
231	30-05-2025	TS06UB2230	1126	7120	PACS KULKACHARLA (VKR)	VIKARABAD	638	0	638	255.2		NEW GODOWN
232	31-05-2025	TS07UC9918	1127	25075	DCMS DADAPUR (VKR)	VIKARABAD	0	704	704	281.6		NEW GODOWN
233	31-05-2025	AP15C5025	1132	4116	PACS GHATTEPALLY (VKR)	VIKARABAD	0	652	652	260.8		NEW GODOWN
234	01-06-2025	AP13Y0561	1134	10935	PACS KANDI	SANGAREDDY	401	103	504	201.6		BATTI
235	02-06-2025	KA38A6558	1133	10937	PACS KANDI	SANGAREDDY	651	0	651	260.4		BATTI
236	01-06-2025	FR	1135	13346	PACS ISMAILKHANPET	SANGAREDDY	0	213	213	85.2		NEW GODOWN
237	02-06-2025	AP23Y2979	1136	10940	PACS KANDI	SANGAREDDY	393	187	580	232		BATTI
238	03-06-2025	AP13Y0561	1138	10942	PACS KANDI	SANGAREDDY	312	188	500	200		BATTI
239	03-06-2025	TS08UE4848	1139	10943	PACS KANDI	SANGAREDDY	364	278	642	256.8		BATTI
